B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,SCL,QA60,VV,VH,HH,HV,angle,elevation,manganese_proxy,label
536.0,693.5,926.5,801.5,1423.0,2499.5,2839.0,2929.0,3154.0,3023.5,2294.5,1388.0,5.0,0.0,-11.306760219836391,-17.686163600052375,0.0,0.0,36.441795349121094,285.0,0.014972066,0
643.0,762.0,1003.0,1106.5,1587.5,2370.5,2665.0,2844.5,2968.0,2961.0,2368.0,1554.0,5.0,0.0,-10.903954178997598,-17.45931575446382,0.0,0.0,37.503074645996094,289.0,0.0041248337,0
673.75,801.25,1081.75,1324.5,1737.4285714285713,2100.714285714286,2282.1666666666665,2431.517857142857,2555.791666666667,2722.5454545454545,2899.6,2105.0,5.0,0.0,-10.274319272927086,-18.200973935362814,0.0,0.0,33.476905822753906,284.0,0.030271411,0
450.4117647058824,572.2727272727273,793.6153846153846,734.6923076923077,1190.55,2338.8888888888887,2647.75,2659.25,2909.5,2892.909090909091,2239.4666666666667,1402.875,5.0,0.0,-8.906517522759529,-15.458989193120981,0.0,0.0,39.28508758544922,331.0,0.008499356,0
997.0,1038.5,1369.5,1539.0,2011.5,2727.0,2987.0,2980.5,3107.0,3007.5,2898.0,2216.0,5.0,0.0,-10.238173020404558,-16.616834928409933,0.0,0.0,38.51576614379883,288.0,0.009580145,0
436.22222222222223,542.3285714285714,751.2727272727273,852.6,1267.6666666666667,1998.6,2227.75,2339.916666666667,2504.25,2437.8142857142857,2216.0,1457.75,5.0,0.0,-9.544336449469725,-16.3650219907174,0.0,0.0,40.55723190307617,346.0,0.007483957,0
635.0,718.5,882.5,1081.0,1425.5,1955.5,2204.0,2352.5,2488.0,2529.0,3010.0,2180.5,5.0,0.0,-11.585462809517692,-18.28336554922454,0.0,0.0,31.819015502929688,314.0,0.029578436,0
513.0,687.0,915.0,949.0,1508.0,2294.0,2538.0,2637.0,2867.0,2777.0,2374.0,1457.0,5.0,0.0,-11.393748558819263,-18.108520378780682,0.0,0.0,33.31254959106445,290.0,3.3861405e-05,0
701.7142857142857,841.8888888888889,1092.5833333333333,1191.8333333333333,1587.6,2139.0,2396.25,2517.6666666666665,2578.2,2623.8333333333335,2113.0,1348.0,5.0,0.0,-11.309047714350765,-18.933599512922015,0.0,0.0,33.065208435058594,283.0,0.0018221044,0
545.95,622.0,883.5555555555555,918.6666666666667,1242.6666666666667,1899.0,2055.25,2052.6666666666665,2214.5,2425.833333333333,1931.5,1443.25,5.0,0.0,-8.693087547115207,-16.191126434310718,0.0,0.0,32.318504333496094,284.0,0.006278829,0
539.0,662.0,831.0,842.0,1299.0,1881.0,2170.0,2295.0,2463.0,2602.0,2841.0,2025.0,4.0,0.0,-10.858680441470446,-15.899057940415211,0.0,0.0,35.845184326171875,324.0,0.019510519,0
441.0,544.5,730.5,864.5,1271.5,1907.0,2136.5,2271.0,2492.0,2608.5,2497.5,1659.5,5.0,0.0,-1.1451933966129644,-7.7045165876009,0.0,0.0,34.629390716552734,361.0,0.021138432,0
435.14285714285717,604.5714285714286,748.8888888888889,911.0,1259.25,1739.4615384615386,1970.5333333333333,2070.25,2225.0,2186.375,2328.6666666666665,1546.6666666666667,5.0,0.0,-9.23327551299254,-16.245957032410747,0.0,0.0,39.70148468017578,584.0,0.021666754,0
442.90625,437.0204081632653,677.0625,865.5555555555555,1188.5454545454545,1510.0,1688.142857142857,1720.0824175824177,1885.5714285714287,1977.375,2478.125,1806.375,5.0,0.0,-10.136683705157413,-18.039318081518754,0.0,0.0,39.81645202636719,514.0,0.058611155,0
555.5,671.5,898.5,1039.0,1461.5,2064.0,2334.0,2442.5,2551.5,2547.5,2589.5,1736.0,5.0,0.0,-10.920462866342408,-17.362937661449333,0.0,0.0,33.498146057128906,276.0,0.017611654,0
656.0,857.0,1140.0,1333.0,1759.0,2317.0,2580.0,2638.0,2880.0,2835.0,3001.0,2163.0,5.0,0.0,-10.21466890200028,-17.511963408390375,0.0,0.0,35.626949310302734,299.0,0.02312674,0
